Timecode List:,00:00:02.000,00:00:03.000,00:00:04.000,00:00:05.000,00:00:06.000,00:00:07.000,00:00:09.000,00:00:10.000,00:00:11.000,00:00:20.000,00:00:21.000,00:00:30.000,00:00:40.000,00:00:46.000,00:00:50.000,00:01:00.000,00:01:10.000,00:01:11.000,00:01:20.000,00:01:23.000,00:01:30.000
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,0,00:00:00.000,0.000,2,00:00:02.000,2.000,2,00:00:02.000,2.000
2,2,00:00:02.000,2.000,3,00:00:03.000,3.000,1,00:00:01.000,1.000
3,3,00:00:03.000,3.000,4,00:00:04.000,4.000,1,00:00:01.000,1.000
4,4,00:00:04.000,4.000,5,00:00:05.000,5.000,1,00:00:01.000,1.000
5,5,00:00:05.000,5.000,6,00:00:06.000,6.000,1,00:00:01.000,1.000
6,6,00:00:06.000,6.000,7,00:00:07.000,7.000,1,00:00:01.000,1.000
7,7,00:00:07.000,7.000,9,00:00:09.000,9.000,2,00:00:02.000,2.000
8,9,00:00:09.000,9.000,10,00:00:10.000,10.000,1,00:00:01.000,1.000
9,10,00:00:10.000,10.000,11,00:00:11.000,11.000,1,00:00:01.000,1.000
10,11,00:00:11.000,11.000,20,00:00:20.000,20.000,9,00:00:09.000,9.000
11,20,00:00:20.000,20.000,21,00:00:21.000,21.000,1,00:00:01.000,1.000
12,21,00:00:21.000,21.000,30,00:00:30.000,30.000,9,00:00:09.000,9.000
13,30,00:00:30.000,30.000,40,00:00:40.000,40.000,10,00:00:10.000,10.000
14,40,00:00:40.000,40.000,46,00:00:46.000,46.000,6,00:00:06.000,6.000
15,46,00:00:46.000,46.000,50,00:00:50.000,50.000,4,00:00:04.000,4.000
16,50,00:00:50.000,50.000,60,00:01:00.000,60.000,10,00:00:10.000,10.000
17,60,00:01:00.000,60.000,70,00:01:10.000,70.000,10,00:00:10.000,10.000
18,70,00:01:10.000,70.000,71,00:01:11.000,71.000,1,00:00:01.000,1.000
19,71,00:01:11.000,71.000,80,00:01:20.000,80.000,9,00:00:09.000,9.000
20,80,00:01:20.000,80.000,83,00:01:23.000,83.000,3,00:00:03.000,3.000
21,83,00:01:23.000,83.000,90,00:01:30.000,90.000,7,00:00:07.000,7.000
22,90,00:01:30.000,90.000,100,00:01:40.000,100.000,10,00:00:10.000,10.000
